Location,Period,Indicator,Dim1,Tooltip,FactValueForMeasure,FactValueString
Armenia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,202.4,202.4,202.4
Armenia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,91.67,91.67,91.67
Armenia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,143.4,143.4,143.4
Armenia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,203.6,203.6,203.6
Armenia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,91.21,91.21,91.21
Australia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,60.73,60.73,60.73
Australia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,76.56,76.56,76.56
Australia,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,44.79,44.79,44.79
Australia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,62.17,62.17,62.17
Australia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,78.67,78.67,78.67
Australia,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,45.54,45.54,45.54
Australia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,61.19,61.19,61.19
Australia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,76.93,76.93,76.93
Australia,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,45.33,45.33,45.33
Australia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,59.59,59.59,59.59
Australia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,74.52,74.52,74.52
Australia,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,44.53,44.53,44.53
Australia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,59.8,59.8,59.8
Australia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,74.97,74.97,74.97
Australia,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,44.46,44.46,44.46
Australia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,61.96,61.96,61.96
Australia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,77.57,77.57,77.57
Australia,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,46.13,46.13,46.13
Australia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,63.06,63.06,63.06
Australia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,79.77,79.77,79.77
Australia,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,46.05,46.05,46.05
Australia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,64.77,64.77,64.77
Australia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,81.21,81.21,81.21
Australia,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,47.98,47.98,47.98
Australia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,64.38,64.38,64.38
Australia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,81.78,81.78,81.78
Australia,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,46.59,46.59,46.59
Australia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,65.11,65.11,65.11
Australia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,82.1,82.1,82.1
Australia,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,47.72,47.72,47.72
Australia,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,64.8,64.8,64.8
Australia,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,81.76,81.76,81.76
Australia,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,47.42,47.42,47.42
Australia,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,68.13,68.13,68.13
Australia,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,85.97,85.97,85.97
Australia,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,49.78,49.78,49.78
Australia,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,67.45,67.45,67.45
Australia,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,85.19,85.19,85.19
Australia,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,49.21,49.21,49.21
Australia,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,69.39,69.39,69.39
Australia,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,87.8,87.8,87.8
Australia,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,50.37,50.37,50.37
Australia,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,71.69,71.69,71.69
Australia,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,89.85,89.85,89.85
Australia,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,52.92,52.92,52.92
Australia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,73.55,73.55,73.55
Australia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,92.87,92.87,92.87
Australia,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,53.48,53.48,53.48
Australia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,76.93,76.93,76.93
Australia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,97.06,97.06,97.06
Australia,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,55.98,55.98,55.98
Austria,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,61.89,61.89,61.89
Austria,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,79.88,79.88,79.88
Austria,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,43.52,43.52,43.52
Austria,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,64.34,64.34,64.34
Austria,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,83.91,83.91,83.91
Austria,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,44.33,44.33,44.33
Austria,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,65.08,65.08,65.08
Austria,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,84.38,84.38,84.38
Austria,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,45.44,45.44,45.44
Austria,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,66.55,66.55,66.55
Austria,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,88.01,88.01,88.01
Austria,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,44.72,44.72,44.72
Austria,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,68.41,68.41,68.41
Austria,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,90.13,90.13,90.13
Austria,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,46.33,46.33,46.33
Austria,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,71.6,71.6,71.6
Austria,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,93.68,93.68,93.68
Austria,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,49.2,49.2,49.2
Austria,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,74.43,74.43,74.43
Austria,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,99.81,99.81,99.81
Austria,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,48.59,48.59,48.59
Austria,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,76.97,76.97,76.97
Austria,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,103.3,103.3,103.3
Austria,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,50.23,50.23,50.23
Austria,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,76,76,76
Austria,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,100.8,100.8,100.8
Austria,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,50.84,50.84,50.84
Austria,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,79.77,79.77,79.77
Austria,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,106.2,106.2,106.2
Austria,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,52.83,52.83,52.83
Austria,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,80.45,80.45,80.45
Austria,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,107.7,107.7,107.7
Austria,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,52.65,52.65,52.65
Austria,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,83.7,83.7,83.7
Austria,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,111.6,111.6,111.6
Austria,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,55.23,55.23,55.23
Austria,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,83.9,83.9,83.9
Austria,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,112.9,112.9,112.9
Austria,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,54.23,54.23,54.23
Austria,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,85,86,85
Austria,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,113.1,113.1,113.1
Austria,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,58.22,58.22,58.22
Austria,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,87.4,87.4,87.4
Austria,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,116.7,116.7,116.7
Austria,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,57.32,57.32,57.32
Austria,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,89.52,89.52,89.52
Austria,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,119.3,119.3,119.3
Austria,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,58.9,58.9,58.9
Austria,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,93.72,93.72,93.72
Austria,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,124.1,124.1,124.1
Austria,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,62.46,62.46,62.46
Azerbaijan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,117.6,117.6,117.6
Azerbaijan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,160.5,160.5,160.5
Azerbaijan,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,76.36,76.36,76.36
Azerbaijan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,119.5,119.5,119.5
Azerbaijan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,162.7,162.7,162.7
Azerbaijan,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,77.82,77.82,77.82
Azerbaijan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,121.5,121.5,121.5
Azerbaijan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,165,165,165
Azerbaijan,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,79.38,79.38,79.38
Azerbaijan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,123.7,123.7,123.7
Azerbaijan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,167.7,167.7,167.7
Azerbaijan,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,81.07,81.07,81.07
Azerbaijan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,126.4,126.4,126.4
Azerbaijan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,171.1,171.1,171.1
Azerbaijan,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,83.05,83.05,83.05
Azerbaijan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,129.2,129.2,129.2
Azerbaijan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,175.6,175.6,175.6
Azerbaijan,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.08,84.08,84.08
Azerbaijan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,131.8,131.8,131.8
Azerbaijan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,177.2,177.2,177.2
Azerbaijan,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,87.74,87.74,87.74
Azerbaijan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,133,133,133
Azerbaijan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,176.9,176.9,176.9
Azerbaijan,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,90.42,90.42,90.42
Azerbaijan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,142.1,142.1,142.1
Azerbaijan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,191.2,191.2,191.2
Azerbaijan,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,94.23,94.23,94.23
Azerbaijan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,140.6,140.6,140.6
Azerbaijan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,187.4,187.4,187.4
Azerbaijan,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,95.18,95.18,95.18
Azerbaijan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,153.1,153.1,153.1
Azerbaijan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,207.3,207.3,207.3
Azerbaijan,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,100.1,100.1,100.1
Azerbaijan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,159,160,159
Azerbaijan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,215.3,215.3,215.3
Azerbaijan,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,105.8,105.8,105.8
Azerbaijan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,151.1,151.1,151.1
Azerbaijan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,201.5,201.5,201.5
Azerbaijan,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,101,102,101
Azerbaijan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,150.9,150.9,150.9
Azerbaijan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,199.4,199.4,199.4
Azerbaijan,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,103.7,103.7,103.7
Azerbaijan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,143.7,143.7,143.7
Azerbaijan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,190.4,190.4,190.4
Azerbaijan,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,98.39,98.39,98.39
Azerbaijan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,149.5,149.5,149.5
Azerbaijan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,198.7,198.7,198.7
Azerbaijan,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,101.6,101.6,101.6
Azerbaijan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,161,161,161
Azerbaijan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,216.7,216.7,216.7
Azerbaijan,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,106.7,106.7,106.7
Bahamas,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,159.2,159.2,159.2
Bahamas,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,199.1,199.1,199.1
Bahamas,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,119.7,119.7,119.7
Bahamas,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,160.6,160.6,160.6
Bahamas,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,202.4,202.4,202.4
Bahamas,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,119.2,119.2,119.2
Bahamas,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,167.6,167.6,167.6
Bahamas,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,209.1,209.1,209.1
Bahamas,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,126.8,126.8,126.8
Bahamas,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,166.2,166.2,166.2
Bahamas,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,206.7,206.7,206.7
Bahamas,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,126.5,126.5,126.5
Bahamas,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,162.7,162.7,162.7
Bahamas,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,202.8,202.8,202.8
Bahamas,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,123.5,123.5,123.5
Bahamas,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,157,158,157
Bahamas,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,198,198,198
Bahamas,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,118.9,118.9,118.9
Bahamas,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,158,159,158
Bahamas,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,205.4,205.4,205.4
Bahamas,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,113.3,113.3,113.3
Bahamas,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,166.3,166.3,166.3
Bahamas,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,215.8,215.8,215.8
Bahamas,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,117.4,117.4,117.4
Bahamas,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,167.6,167.6,167.6
Bahamas,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,217,217,217
Bahamas,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,118.8,118.8,118.8
Bahamas,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,170.8,170.8,170.8
Bahamas,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,220.5,220.5,220.5
Bahamas,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,121.8,121.8,121.8
Bahamas,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,176.8,176.8,176.8
Bahamas,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,224.1,224.1,224.1
Bahamas,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,130.4,130.4,130.4
Bahamas,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,179,180,179
Bahamas,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,227.7,227.7,227.7
Bahamas,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,133,133,133
Bahamas,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,186.5,186.5,186.5
Bahamas,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,236.3,236.3,236.3
Bahamas,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,137.6,137.6,137.6
Bahamas,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,203.2,203.2,203.2
Bahamas,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,255.1,255.1,255.1
Bahamas,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,152.1,152.1,152.1
Bahamas,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,205.6,205.6,205.6
Bahamas,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,258.4,258.4,258.4
Bahamas,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,153.5,153.5,153.5
Bahamas,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,204.3,204.3,204.3
Bahamas,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,257.4,257.4,257.4
Bahamas,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,151.8,151.8,151.8
Bahamas,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,202.4,202.4,202.4
Bahamas,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,255.3,255.3,255.3
Bahamas,2000,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,149.9,149.9,149.9
Bahrain,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,56.81,56.81,56.81
Bahrain,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,60.91,60.91,60.91
Bahrain,2016,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,49.61,49.61,49.61
Bahrain,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,58.52,58.52,58.52
Bahrain,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,62.8,62.8,62.8
Bahrain,2015,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,51.14,51.14,51.14
Bahrain,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,61.95,61.95,61.95
Bahrain,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,68.49,68.49,68.49
Bahrain,2014,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,50.44,50.44,50.44
Bahrain,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,62.78,62.78,62.78
Bahrain,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,68.39,68.39,68.39
Bahrain,2013,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,53.26,53.26,53.26
Bahrain,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,65.73,65.73,65.73
Bahrain,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,68.42,68.42,68.42
Bahrain,2012,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,61.18,61.18,61.18
Bahrain,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,65.57,65.57,65.57
Bahrain,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,67.76,67.76,67.76
Bahrain,2011,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,62.04,62.04,62.04
Bahrain,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,65.97,65.97,65.97
Bahrain,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,66.6,66.6,66.6
Bahrain,2010,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,65.33,65.33,65.33
Bahrain,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,69.15,69.15,69.15
Bahrain,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,74.38,74.38,74.38
Bahrain,2009,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,59.69,59.69,59.69
Bahrain,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,73.17,73.17,73.17
Bahrain,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,79.47,79.47,79.47
Bahrain,2008,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,61.59,61.59,61.59
Bahrain,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,80.33,80.33,80.33
Bahrain,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,92.34,92.34,92.34
Bahrain,2007,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,58.7,58.7,58.7
Bahrain,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,88.64,88.64,88.64
Bahrain,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,96.41,96.41,96.41
Bahrain,2006,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,75.47,75.47,75.47
Bahrain,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,83.48,83.48,83.48
Bahrain,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,92.27,92.27,92.27
Bahrain,2005,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,68.42,68.42,68.42
Bahrain,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,93.95,93.95,93.95
Bahrain,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,101.8,101.8,101.8
Bahrain,2004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,80.03,80.03,80.03
Bahrain,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,92.13,92.13,92.13
Bahrain,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,96.21,96.21,96.21
Bahrain,2003,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,84.61,84.61,84.61
Bahrain,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,98.92,98.92,98.92
Bahrain,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,113.2,113.2,113.2
Bahrain,2002,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,75.89,75.89,75.89
Bahrain,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Both sexes,98.42,98.42,98.42
Bahrain,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Male,109.1,109.1,109.1
Bahrain,2001,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),Female,81.44,81.44,81.44
